"county_name" "state" "confirmed_cases" "deaths" "total_pop" "white_pop" "black_pop" "asian_pop" "amerindian_pop" "hispanic_pop" "median_income" "households_public_asst_or_food_stamps" "children_in_single_female_hh" "employed_pop" "unemployed_pop" "pop_determined_poverty_status" "not_us_citizen_pop" "two_parent_families_with_young_children" "poverty" "income_under_40" "income_over_40_under_100" "income_over_100" "income_200000_or_more" "commuters_in_groups" "local_commuters" "out_of_town_commuters" "cases_per_1000" "deaths_per_1000" "death_per_case" "k12_students" "children" "some_college_and_associates_degree" "associates_degree" "bachelors_degree" "masters_degree"
"44" "Middlesex County" "MA" 93861 2969 1582857 1160650 76708 176740 1711 121171 92878 49669 53598 862873 43396 1526465 164154 83675 125491 132413 183521 181506 96344 215844 592928 192807 59.2984710558187 1.87572219094966 0.0316318811860091 218429 321459 206488 66627 297546 204834
"45" "Hartford County" "CT" 58705 2017 897417 560997 114711 45178 1338 154977 69936 56115 57064 445468 35391 874029 61631 35684 97996 103162 127075 87684 30950 51452 366130 42113 65.4155203210993 2.24756161294025 0.0343582318371519 137544 192330 154982 49406 132166 73605
"46" "New Castle County" "DE" 40753 514 555036 324937 133538 30089 1162 53113 68336 22859 33610 269164 18568 538117 31702 22986 64082 60163 77781 49606 15104 31309 214185 35314 73.4240661866978 0.926066056976484 0.0126125683998724 82816 121990 96770 26155 77875 40364
"47" "Hawaii County" "HI" 2088 45 196325 59540 1105 42130 400 24523 56395 13705 11306 84962 6225 193347 11158 7101 33703 25170 25939 13217 2728 11450 60142 13168 10.6354259518655 0.229211766203998 0.021551724137931 27440 43114 44957 13798 26418 8574
"48" "Worcester County" "MA" 54092 1729 818249 637093 35449 38306 1280 88475 69313 40135 41809 413989 26692 790812 45936 34710 87858 92951 109274 79635 24115 41824 291844 83489 66.1070163238819 2.1130487174442 0.0319640612290172 124749 177778 146968 49902 120813 57087
"49" "Kauai County" "HI" 175 1 71093 21059 476 23389 245 7654 72330 2334 2622 35783 1651 70309 5408 3098 6420 6312 8627 6204 1420 3422 27451 4416 2.46156442969069 0.0140660824553754 0.00571428571428571 9555 15812 16249 6243 9793 3052
"50" "Hampshire County" "MA" 5081 220 161197 135791 4465 8517 169 8634 64974 5857 5491 84348 5831 138558 6889 4975 19052 18747 22031 14338 3666 8223 63664 9091 31.5204377252678 1.3647896673015 0.0432985632749459 17775 24622 24200 9310 22348 15018
"51" "Maui County" "HI" 1618 20 164094 50064 819 46732 198 18130 72762 6246 8367 83785 4348 161748 13552 6875 16147 14364 21698 14133 4186 13082 64819 9300 9.86020207929601 0.121881360683511 0.0123609394313968 23088 36445 39850 11768 20711 6254
"52" "Hillsborough County" "NH" 23111 503 406371 348156 8555 15297 410 25429 75777 13940 17981 219781 11063 397944 17432 18346 34076 39627 60957 44904 12651 20028 157092 39463 56.8716763745444 1.23778517659971 0.0217645277140755 60721 86687 80644 28495 66236 29377
"53" "Honolulu County" "HI" 20018 255 990060 185366 21577 413923 933 95070 80078 33782 40613 467165 22156 957763 77961 52539 86868 70994 119323 91341 29793 113408 366680 101827 20.2189766276791 0.257560147869826 0.0127385353182136 133628 212210 212261 71071 152164 51651
